fid,Facility,X,Y,Province,Hydro_MW,NHN_Work_U,GRanD_ID,HydroLAKES_ID,GINDEX,GINDEX_CONUS,Basin_Note,WECC_ADS_2032,Intake_Flow_Rate,Type,Water_License
205,Sakwi Creek,-121.880117,49.3326167,British Columbia,6,08MG0X2,,,6848,,,,1.25,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=66889321
208,Skookum Power (Mamquam Skookum),-122.9955731,49.7204719,British Columbia,25,08GABX1,,,7544,,,,9.9,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=60808889
209,Soo River 2,-122.8959915,50.22316569,British Columbia,13,08MG001,,,8952,,,,16.51,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=62536437
210,South Sutton Creek,-125.3092113,49.2876115,British Columbia,5,08HB001,,,6468,,,,2.00002,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981967
211,Squamish Power Project,-123.255398,49.667741,British Columbia,1,08GABX1,,,7540,,,X,,,
212,Tyson Creek,-123.685752,49.8370846,British Columbia,9,08GB0X1,,967326,7890,,,,1.30002,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=62778877
213,Upper Lillooet River,-123.4463117,50.65598723,British Columbia,81.4,08MG001,,,10356,,,,53,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=65280313
214,Volcano Creek,-130.5976985,56.7289115,British Columbia,18,08CG002,,,27195,,X,,,,
9215,Alouette Lake,-122.3134057,49.37107284,British Columbia,9,08MHBX1,35,8131,6492,,,,28.3168,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=45046740
9216,Clayton Falls,-126.8139119,52.3700948,British Columbia,2,08FBOX1,,,14905,,,X,,,
9217,Falls River,-129.7344798,53.98344128,British Columbia,7,08EGBX1,,85332,19810,,X,,,,
9218,Lake Buntzen 1,-122.8686413,49.37520695,British Columbia,60,08GABX1,,976058,6841,,,,67.69826221,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44981508
9219,Lake Buntzen 2,-122.8735178,49.3705691,British Columbia,17.8,08GABX1,,976058,6841,,,X,,,
9220,Lois Lake,-124.3169893,49.7699018,British Columbia,37,08GB0X1,28,8009,7885,,,X,,,
9221,Powell Lake,-124.5577039,49.8723478,British Columbia,38,08GC0X0,27,681,8235,,,,102.78998,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=45046212
9222,Salmon Inlet (Sechelt Creek),-123.548089,49.6774584,British Columbia,17,08GB0X1,,,7187,,,,6.15607,run-of-river,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=65444013
9223,Site C,-120.913109,56.19035169,British Columbia,1100,07FA000,,,25864,,X,,,,
9224,Stave Falls,-122.356131,49.22881408,British Columbia,91,08MHBX1,37,8144,6493,,,,283.168,reservoir,https://j200.gov.bc.ca/pub/ams/Default.aspx?PossePresentation=PublicDocuments&PosseObjectId=44982687
