id,left,top,right,bottom,lon,lat,area,areatotal,areatotal2,GINDEX,DSIG,OUTLETG,MASK,NLDAS_ID
26368,-114.625000000000000,51.125000000000000,-114.500000000000000,51.000000000000000,-114.562500000000000,51.062500000000000,121424411.916536614298820,489370000.000000059604645,485697647.666146457195282,11483,11835,18303,1,x220y33
26369,-114.625000000000000,51.000000000000000,-114.500000000000000,50.875000000000000,-114.562500000000000,50.937500000000000,121751986.169853940606117,807540000.000000000000000,975976695.795962095260620,11131,11484,18303,1,x220y32
26370,-114.625000000000000,50.875000000000000,-114.500000000000000,50.750000000000000,-114.562500000000000,50.812500000000000,122078980.926917016506195,81450000.000000000000000,122078980.926917016506195,10779,10428,18303,1,x220y31
26371,-114.625000000000000,50.750000000000000,-114.500000000000000,50.625000000000000,-114.562500000000000,50.687500000000000,122405394.631356149911880,417330000.000000000000000,612352221.648679852485657,10427,10076,18303,1,x220y30
26372,-114.625000000000000,50.625000000000000,-114.500000000000000,50.500000000000000,-114.562500000000000,50.562500000000000,122731225.729525178670883,268630000.000000000000000,122731225.729525178670883,10075,10076,18303,1,x220y29
26373,-114.625000000000000,50.500000000000000,-114.500000000000000,50.375000000000000,-114.562500000000000,50.437500000000000,123056472.670609489083290,785760000.000000000000000,986073327.338509917259216,9723,9724,18303,1,x220y28
26374,-114.625000000000000,50.375000000000000,-114.500000000000000,50.250000000000000,-114.562500000000000,50.312500000000000,123381133.906537711620331,243800000.000000000000000,370791549.690618693828583,9371,9723,18303,1,x220y27
26375,-114.625000000000000,50.250000000000000,-114.500000000000000,50.125000000000000,-114.562500000000000,50.187500000000000,123705207.892040491104126,37930000.000000000000000,123705207.892040491104126,9019,9371,18303,1,x220y26
26376,-114.625000000000000,50.125000000000000,-114.500000000000000,50.000000000000000,-114.562500000000000,50.062500000000000,124028693.084650665521622,226960000.000000000000000,248057386.169301331043243,8667,8316,18303,1,x220y25
26377,-114.625000000000000,50.000000000000000,-114.500000000000000,49.875000000000000,-114.562500000000000,49.937500000000000,124351587.944683507084846,178050000.000000000000000,248703175.889367014169693,8315,8316,18303,1,x220y24
26378,-114.625000000000000,49.875000000000000,-114.500000000000000,49.750000000000000,-114.562500000000000,49.812500000000000,124673890.935266241431236,130220000.000000000000000,124673890.935266241431236,7963,7964,18303,1,x220y23
26379,-114.625000000000000,49.750000000000000,-114.500000000000000,49.625000000000000,-114.562500000000000,49.687500000000000,124995600.522367611527443,253560000.000000000000000,124995600.522367611527443,7611,7260,18303,1,x220y22
26380,-114.625000000000000,49.625000000000000,-114.500000000000000,49.500000000000000,-114.562500000000000,49.562500000000000,125316715.174738720059395,63530000.000000000000000,125316715.174738720059395,7259,7260,18303,1,x220y21
26381,-114.625000000000000,49.500000000000000,-114.500000000000000,49.375000000000000,-114.562500000000000,49.437500000000000,125637233.364031195640564,55280000.000000007450581,125637233.364031195640564,6907,6908,18303,1,x220y20
